nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	SName	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	SName	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	
0	1.39421	450.82059	2.88098	0.00000	2.22690	5.45338	3.86783	1.02585	0.33585	0.24643	0.08058	2.03053	1.22622	1.22622	0.05287	0.08439	1.53535	0.81084	279.68689	13	* tet Boo	1.30000	1.21000	6240.00000	14.53066	F	216.29915	51.85074	93.83210	59.65260	
1	0.52910	7.67429	0.11332	0.00000	1.62990	4.25828	1.24113	3.68553	0.65364	0.05200	0.05645	14.28254	0.08114	0.08114	0.00123	0.00558	350.61201	0.97658	923.93897	13	* tet Boo	1.30000	1.21000	6240.00000	14.53066	F	216.29915	51.85074	93.83210	59.65260	
1	3.36964	204.02326	19.42121	0.00000	1.62990	5.21655	0.87335	2.80998	0.62083	0.14085	0.05508	14.28254	0.72280	0.72280	0.04265	0.04974	4.41881	0.61886	316.65639	13	* tet Boo	1.30000	1.21000	6240.00000	14.53066	F	216.29915	51.85074	93.83210	59.65260	
0	0.84835	2.20154	0.53690	0.00000	0.59431	0.44198	1.61875	1.00004	0.25073	0.12975	0.02331	4.59487	0.02440	0.02440	0.00161	0.00168	35.06106	0.19104	630.11433	14	* tet Boo B	0.39300	0.40000	3500.00000	14.53727	M	216.29825	51.83142	93.80608	59.66677	
1	0.58323	120.09617	0.18642	0.00000	0.71238	3.70961	4.25794	3.15807	0.72306	0.42667	0.08134	0.25613	0.35103	0.35103	0.01946	0.02415	0.16947	0.07994	129.54494	14	* tet Boo B	0.39300	0.40000	3500.00000	14.53727	M	216.29825	51.83142	93.80608	59.66677	
1	3.03936	486.77739	14.22840	0.00000	0.71238	4.78771	5.15446	0.45575	0.45581	0.57519	0.02455	0.25613	0.89237	0.89237	0.05606	0.06138	0.02622	0.54882	96.19744	14	* tet Boo B	0.39300	0.40000	3500.00000	14.53727	M	216.29825	51.83142	93.80608	59.66677	
0	1.19268	13.12019	1.15661	0.00000	2.41755	5.09597	4.73303	4.12066	0.59030	0.52061	0.08577	0.51112	0.11273	0.11273	0.00905	0.00970	127.94110	0.15991	748.89940	15	* zet Dor	1.18000	1.11000	6000.00000	11.62468	F	76.37773	-57.47270	266.03365	-36.71583	
0	1.01707	70.21282	4.94024	0.00000	2.41755	5.18469	0.91499	5.89851	0.56113	0.48060	0.02746	0.51112	0.34490	0.34490	0.02795	0.02967	13.66810	0.16882	435.57695	15	* zet Dor	1.18000	1.11000	6000.00000	11.62468	F	76.37773	-57.47270	266.03365	-36.71583	
0	0.58012	126.50781	0.15150	0.00000	2.41755	5.17127	2.63811	1.48691	0.29644	0.20644	0.08969	0.51112	0.51069	0.51069	0.03665	0.04393	6.23410	0.64376	402.78415	15	* zet Dor	1.18000	1.11000	6000.00000	11.62468	F	76.37773	-57.47270	266.03365	-36.71583	
0	0.59170	284.39332	0.23910	0.00000	2.41755	0.59441	2.56421	1.05602	0.39789	0.07879	0.00043	0.51112	0.87638	0.87638	0.07180	0.07539	2.11692	0.48579	295.73285	15	* zet Dor	1.18000	1.11000	6000.00000	11.62468	F	76.37773	-57.47270	266.03365	-36.71583	
0	2.26387	383.70623	9.20424	0.00000	2.41755	2.05616	4.95860	2.13560	0.54735	0.34894	0.06957	0.51112	1.07007	1.07007	0.08074	0.09205	1.41992	0.11565	249.20705	15	* zet Dor	1.18000	1.11000	6000.00000	11.62468	F	76.37773	-57.47270	266.03365	-36.71583	
