# %ECSV 0.9,,,,,,,,,,,,
# ---,,,,,,,,,,,,
# datatype:,,,,,,,,,,,,
# - name: sim_ra,,,,,,,,,,,,
#   unit: deg,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   description: Right ascension,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.eq.ra;meta.main},,,,,,,,,,,,
# - name: sim_dec,,,,,,,,,,,,
#   unit: deg,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   description: Declination,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.eq.dec;meta.main},,,,,,,,,,,,
# - name: sim_plx,,,,,,,,,,,,
#   unit: mas,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   description: Parallax,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.parallax.trig},,,,,,,,,,,,
# - name: distance,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.parallax.trig},,,,,,,,,,,,
# - {name: sim_name, datatype: string},,,,,,,,,,,
# - {name: sim_sptype, datatype: string},,,,,,,,,,,
# - {name: gal_coord_l, unit: deg, datatype: float64},,,,,,,,,,
# - {name: gal_coord_b, unit: deg, datatype: float64},,,,,,,,,,
# - {name: mod_Teff, unit: K, datatype: float64},,,,,,,,,,
# - {name: mod_R, unit: solRad, datatype: float64},,,,,,,,,,
# - {name: mod_M, unit: solMass, datatype: float64},,,,,,,,,,
# - {name: sep_phys, unit: AU, datatype: float64},,,,,,,,,,
# - {name: binary_flag, datatype: bool},,,,,,,,,,,
# delimiter: ',',,,,,,,,,,,
# meta: !!omap,,,,,,,,,,,,
# - {ID: result_1591693106145},,,,,,,,,,,,
# - {name: result_1591693106145},,,,,,,,,,,,
# schema: astropy-2.0,,,,,,,,,,,,
sim_ra,sim_dec,sim_plx,distance,sim_name,sim_sptype,gal_coord_l,gal_coord_b,mod_Teff,mod_R,mod_M,sep_phys,binary_flag
233.8335178,60.0869915,51.1517,19.54969239,HD 139477,K3V,94.33158301,46.91397035,4700,0.72,0.73,830.9,TRUE
241.2366409,39.15650966,69.587,14.37050024,HD 144579,G8V,62.36934388,48.27260201,5490,0.909,0.94,1005.9,TRUE
241.2119096,39.15997762,69.4293,14.40314104,HD 144579B,M4.0V,62.37541076,48.29166707,3100,0.243,0.18,1008.2,TRUE
244.1781108,67.23884186,92.8704,10.76769347,HD 147379,M1-Ve,99.90028082,39.47010321,3650,0.46,0.47,683.7,TRUE
247.219422,18.41405611,51.749,19.32404491,HD 148653A,K3V,35.08854636,39.49959746,4700,0.72,0.73,48.3,TRUE
247.2199207,18.41373417,51.787,19.30986541,HD 148653B,K3V,35.08836889,39.49904181,4700,0.72,0.73,48.3,TRUE
254.7252083,-39.55854834,52.9579,18.88292398,HD 153026A,K5,345.7953887,1.899685989,4330,0.672,0.66,69.9,TRUE
254.7255655,-39.55753842,52.8902,18.90709432,HD 153026B,M0,345.7963528,1.900095056,3800,0.535,0.54,70,TRUE
259.4601001,52.44711451,53.965,18.53052905,HD 156985,K2,79.70963949,35.234494,4990,0.742,0.76,3385.5,TRUE
280.6946036,59.63039216,283.9489,3.521760429,HD 173739,M3V,89.28835708,24.23070718,3250,0.291,0.26,40.1,TRUE
280.6953926,59.62686753,283.8624,3.522833598,HD 173740,M3.5V,89.28468422,24.22953911,3250,0.291,0.26,40.2,TRUE
293.0279344,-11.27494144,56.5162,17.69404171,HD 183870,K2V,27.3076557,-14.07792737,4990,0.742,0.76,3689.2,TRUE
293.0337731,-11.33260278,56.5564,17.68146487,HD 183870B,M5,27.25649469,-14.10784975,3000,0.149,0.12,3686.6,TRUE
349.8609937,79.00351972,52.7325,18.96363723,HD 220140,G9V,118.4636869,16.93826004,5340,0.876,0.9,183.9,TRUE
349.8519544,79.00105984,52.8201,18.9321868,HD 220140B,M3.5V,118.4610728,16.93659541,3250,0.291,0.26,183.6,TRUE
283.7235071,10.97786598,53.7705,18.59755814,HD 230017A,M0V,43.11013703,4.224108316,3800,0.535,0.54,70.7,TRUE
283.7242675,10.9788216,53.8756,18.5612782,HD 230017B,M3.5V,43.11132999,4.223873562,3250,0.291,0.26,70.5,TRUE
85.37804415,53.4898028,81.4467,12.27796829,HD 233153,M1.0V,158.3898362,11.97199751,3650,0.46,0.47,1197.1,TRUE
3.964692886,-67.99772861,53.2666,18.77349033,L   86-66,M0.5,307.9752897,-48.78064401,3800,0.535,0.54,899.3,TRUE
3.931176906,-67.99334774,53.3568,18.74175363,L   86-67,M2.5,307.9953166,-48.78230048,3500,0.393,0.4,897.7,TRUE
46.97245581,-28.23608787,51.0297,19.5964311,L  587-51,M3,223.0820981,-59.87109024,3250,0.291,0.26,1305.1,TRUE
339.6059936,-29.35683607,84.4509,11.84120003,L  645-73,M3.5,20.65951447,-60.71825388,3250,0.291,0.26,172.9,TRUE
339.6027717,-29.35391075,84.3748,11.85187995,L  645-74,M2,20.66509936,-60.71525704,3500,0.393,0.4,173,TRUE
37.1330662,-20.04060061,50.8621,19.66100495,L  657-32,M2.5V,200.4464519,-66.69928097,3500,0.393,0.4,9319.3,TRUE
